GC_cand_40        This Work       201.144070 -43.461493 10.22 20.66                        M2FS ca
GC_cand_45        This Work       201.154846 -43.280524  8.77 20.36                        M2FS ca
GC_cand_8         This Work       201.156854 -42.885295 12.82 20.13                        M2FS ca
H21-217713        This Work       201.158430 -43.607932 12.01 19.21   -1.2   6.0 0.85 0.35 M2FS ca N New
GC_cand_1         This Work       201.166150 -43.134317 10.41 21.46                        M2FS ca
GC_cand_39        This Work       201.166752 -43.465841  3.33 20.64                        M2FS ca
H21-218792        This Work       201.170680 -42.870212 13.63 20.54                        M2FS ca
KV19-248          Voggel2020      201.174218 -42.816574 48.13 17.90   13.4   5.9 0.17 0.32 M2FS ca N D
GC_cand_42        This Work       201.179490 -43.247139  6.78 20.67                        M2FS ca
HH-143            Harris2004_new  201.184850 -42.952465 14.33 19.98                        M2FS ca
KV19-250          Voggel2020      201.188688 -43.666411 18.18 18.24 -146.2  16.0 1.89 0.32 M2FS ca N E
HHH86-10          Hesser1986      201.200123 -43.137294  6.55 18.47                        M2FS ca
T17-1253          Taylor2017      201.204815 -43.086707 17.83 19.63  548.3   5.9 0.19 0.32 M2FS ca Y New
GC_cand_10        This Work       201.206403 -42.922385 14.84 22.57   26.1   6.0 1.33 0.32 M2FS ca N New
H21-222371        This Work       201.209112 -43.167224 12.03 20.50                        M2FS ca
H21-222450        This Work       201.209890 -43.700870  6.12 19.97                        M2FS ca
GC_cand_3         This Work       201.210790 -43.055253 11.22 19.26                        M2FS ca
GC_cand_4         This Work       201.222380 -43.051019 14.16 17.46                        M2FS ca
AAT111185         Beasley2008     201.224886 -43.073512 14.18 20.00  297.6   6.4 1.36 0.34 M2FS ca Y Sigma
GC_cand_2         This Work       201.225340 -43.163812  9.45 19.90                        M2FS ca
HHH86-30          Hesser1986      201.226440 -42.890201 52.10 17.26  780.2   5.9 0.01 0.32 M2FS ca Y RV
GC0450            Woodley2010     201.229040 -43.047889 10.77 20.35                        M2FS ca
H12_320           Harris2012      201.236101 -43.091498 12.91 20.15                        M2FS ca
GC_cand_5         This Work       201.240711 -42.875204 15.94 20.52                        M2FS ca
KV19-262          Voggel2020      201.242945 -42.990417 29.11 18.87   -5.0   6.0 0.20 0.32 M2FS ca N D
pff_gc-026        Peng2004        201.243514 -42.714822 11.58 19.46  423.8   6.2 1.25 0.33 M2FS ca Y RV
PFF-gc028         Peng2004        201.254757 -42.947666 25.99 18.86  539.6   5.9 0.29 0.32 M2FS ca Y RV
HH-146            Harris2004_new  201.255640 -42.997411 12.57 19.82                        M2FS ca
KV19-265          Voggel2020      201.257206 -43.018565 47.90 16.58   -2.8   6.0 0.24 0.32 M2FS ca N C
HGHH-G066         Harris1992      201.263148 -43.050712 29.46 18.80  581.4   5.9 0.21 0.32 M2FS ca Y RV
KV19-268          Voggel2020      201.267822 -43.654668  4.14 18.19                        M2FS ca
AAT112964         Beasley2008     201.269131 -43.122756 15.65 19.69   38.3   6.1 1.89 0.32 M2FS ca N RV
HGHH-43           Harris1992      201.269935 -43.160808 17.43 18.65  497.6   5.9 0.43 0.32 M2FS ca Y RV
T17-1388          Taylor2017      201.270881 -42.954239       17.50                        M2FS ca
HGHH-G342         Harris1992      201.274196 -42.983493 32.27 18.13  529.5   5.9 0.26 0.32 M2FS ca Y RV
KV19-270          Voggel2020      201.279400 -43.589595  3.77 16.08                        M2FS ca
H12_362           Harris2012      201.280990 -43.576428  6.83 20.25                        M2FS ca
H21-229155        This Work       201.284580 -43.602688  9.99 20.65                        M2FS ca
K-029             Kraft2001       201.288256 -42.983105 22.82 17.28  638.8   5.9 0.43 0.32 M2FS ca Y RV
GC_cand_41        This Work       201.290160 -43.680682  7.65 19.64                        M2FS ca
K-034             Kraft2001       201.292745 -42.892504 36.00 17.78  460.6   5.9 0.20 0.32 M2FS ca Y RV
H12_312           Harris2012      201.293322 -43.389607  9.03 20.35  553.3   5.9 0.38 0.33 M2FS ca Y New
HHH86-14          Hesser1986      201.293668 -42.747977 30.43 17.88  699.9   5.9 0.26 0.32 M2FS ca Y RV
T17-1444          Taylor2017      201.299889 -42.953690 20.13 19.14  392.8   5.9 0.51 0.33 M2FS ca Y New
H12_321           Harris2012      201.300813 -42.828038 13.88 20.37  422.3   5.9 1.73 0.32 M2FS ca Y New
KV19-273          Voggel2020      201.304097 -42.989558 27.59 18.14  574.4   5.9 0.42 0.32 M2FS ca Y C
GC_cand_6         This Work       201.307520 -42.906243 16.47 20.08                        M2FS ca
H12_356           Harris2012      201.307530 -42.891987 10.81 21.02                        M2FS ca
GC_cand_11        This Work       201.307884 -43.123905 13.14 19.61                        M2FS ca
GC_cand_46        This Work       201.316690 -43.684997  5.81 21.11                        M2FS ca
HHH86-33          Hesser1986      201.317717 -42.848127 28.94 18.53  526.6   5.9 0.40 0.32 M2FS ca Y RV
HGHH-G219         Harris1992      201.322045 -42.979623 28.59 16.41  521.7   5.9 0.30 0.32 M2FS ca Y RV
R253              Rejkuba2001     201.322105 -43.144183 10.29 19.74                        M2FS ca
T17-1511          Taylor2017      201.327091 -43.021130 41.86 16.13  525.4   5.9 0.26 0.32 M2FS ca Y RV
GC_cand_18        This Work       201.329656 -43.152162 10.54 21.49  -47.8   8.9 1.08 0.37 M2FS ca N New
GC_cand_43        This Work       201.331820 -43.267958  8.27 20.85                        M2FS ca
GC_cand_17        This Work       201.332360 -42.910364 11.79 22.40                        M2FS ca
KV19-280          Voggel2020      201.334631 -42.985827 24.91 16.22  492.0   6.0 0.35 0.32 M2FS ca Y B
KV19-281          Voggel2020      201.337980 -43.533540 17.65 19.92  -40.5   6.0 0.14 0.32 M2FS ca N C
T17-1533          Taylor2017      201.339477 -43.324859 14.25 19.00  328.5   6.1 1.79 0.33 M2FS ca Y New
GC0429            Woodley2010     201.345304 -43.136178 23.15 19.19   38.3   5.9 0.14 0.32 M2FS ca N Sigma
HH-180            Harris2004_new  201.354510 -43.151349  9.24 20.06                        M2FS ca
KV19-284          Voggel2020      201.357892 -42.986728 26.05 15.15   -8.7   5.9 2.00 0.32 M2FS ca N D
KV19-286          Voggel2020      201.358467 -42.972696       16.51                        M2FS ca
GC_cand_16        This Work       201.358769 -42.851680 11.43 20.99  -71.3   5.9 1.15 0.37 M2FS ca N New
KV19-287          Voggel2020      201.368097 -42.775991 24.45 18.00  187.9   6.0 0.47 0.32 M2FS ca N C
KV19-288          Voggel2020      201.369036 -42.941958 30.83 18.18  494.3   5.9 0.41 0.32 M2FS ca Y A
WHH-17            Woodley2005     201.371848 -42.963098 28.44 18.46  693.7   5.9 0.45 0.32 M2FS ca Y RV
H21-237144        This Work       201.373273 -43.612256 10.72 20.50                        M2FS ca
WHH-18            Woodley2005     201.375285 -42.946367 31.76 18.50  790.5   5.9 0.20 0.32 M2FS ca Y RV
HH-10             Harris2004      201.379309 -42.837526 42.67 17.25  503.0   5.9 0.20 0.32 M2FS ca Y RV
KV19-289          Voggel2020      201.380317 -43.046136 43.11 14.63  640.1   5.9 0.21 0.32 M2FS ca Y B
HGHH-G359         Harris1992      201.385034 -42.980587 17.31 15.57  526.1   6.0 0.63 0.32 M2FS ca Y RV
H12_106           Harris2012      201.386037 -43.560646 21.97 18.31  595.8   5.9 0.35 0.32 M2FS ca Y A
PFF-gc056         Peng2004        201.386638 -42.940098 24.32 18.67  280.3   5.9 0.93 0.32 M2FS ca Y RV
GC_cand_14        This Work       201.386687 -42.900866 18.34 19.54  101.6   5.9 1.42 0.34 M2FS ca N New
GC_cand_13        This Work       201.390917 -42.832569 36.32 17.67  -19.5   6.1 0.28 0.32 M2FS ca N New
T17-1637          Taylor2017      201.395080 -42.943318 12.33 20.16                        M2FS ca
KV19-292          Voggel2020      201.396382 -42.808698 22.31 19.45    1.7   5.9 0.10 0.32 M2FS ca N D
WHH-22            Woodley2005     201.397118 -43.091414 26.11 18.10  633.9   5.9 0.35 0.32 M2FS ca Y RV
T17-1664          Taylor2017      201.407702 -42.941120 27.23 19.01  518.4   5.9 0.23 0.32 M2FS ca Y RV
T17-1665          Taylor2017      201.408278 -43.283169  5.59 19.92                        M2FS ca
KV19-295          Voggel2020      201.418464 -43.047600 19.89 19.17  805.2   6.0 0.45 0.32 M2FS ca Y B
HHH86-34          Hesser1986      201.419139 -43.353852 22.79 18.45  648.5   5.9 0.18 0.32 M2FS ca Y RV
GC_cand_48        This Work       201.420890 -43.628902       19.52                        M2FS ca
HGHH-19           Harris1992      201.430768 -43.123036 22.64 18.18  621.7   5.9 0.37 0.32 M2FS ca Y RV
KV19-296          Voggel2020      201.430918 -43.300956 32.27 17.91  -53.5   5.9 0.12 0.32 M2FS ca N D
HGHH-35           Harris1992      201.434161 -42.983166 32.35 17.91  595.7   5.9 0.27 0.32 M2FS ca Y RV
GC_cand_47        This Work       201.436130 -43.642691  5.46 19.45                        M2FS ca
N21               Gomez2006       201.437940 -42.649436  6.69 20.21                        M2FS ca
AAT119596         Beasley2008     201.441813 -43.140152 11.27 19.85  625.3   6.0 1.34 0.35 M2FS ca Y RV
GC_cand_49        This Work       201.443400 -43.604783  8.18 22.33                        M2FS ca
GC0590            Woodley2010     201.445670 -42.876120  4.83 19.91                        M2FS ca
HGHH-G204         Harris1992      201.445728 -43.034851 27.90 18.33  737.7   5.9 0.74 0.32 M2FS ca Y RV
HGHH-G251         Harris1992      201.452204 -42.961431 25.81 19.06  624.5   5.9 0.26 0.32 M2FS ca Y RV
GC_cand_44        This Work       201.453510 -43.368077 10.65 21.30                        M2FS ca
KV19-300          Voggel2020      201.461884 -42.950591 42.84 17.19  -57.7   5.9 0.29 0.32 M2FS ca N D
GC_cand_21        This Work       201.469270 -43.083283  9.42 21.57                        M2FS ca
GC_cand_50        This Work       201.471130 -43.541966 10.73 21.16                        M2FS ca
GC0323            Woodley2007     201.472030 -42.514632  5.99 20.34                        M2FS ca
GC_cand_22        This Work       201.474470 -42.995220 12.67 19.74                        M2FS ca
GC_cand_23        This Work       201.477750 -43.131096  8.03 21.39                        M2FS ca
H12_310           Harris2012      201.478079 -42.712559  4.02 20.26                        M2FS ca
HH-107            Harris2004_new  201.485960 -42.979333 13.14 19.59                        M2FS ca
H21-247341        This Work       201.486674 -42.499387 10.12 20.68  -45.7   5.9 0.74 0.33 M2FS ca N New
GC_cand_15        This Work       201.490884 -42.918465 15.12 20.80  -26.8   6.5 0.70 0.34 M2FS ca N New
pff_gc-080        Peng2004        201.498086 -42.544269  6.72 19.94  584.7   6.0 1.35 0.40 M2FS ca Y RV
GC_cand_31        This Work       201.499810 -42.475312 11.33 19.33                        M2FS ca
GC0479            Woodley2010     201.500000 -42.999472 10.21 21.04                        M2FS ca
GC_cand_12        This Work       201.503270 -42.811023 11.80 20.10                        M2FS ca
KV19-309          Voggel2020      201.519331 -43.482248 21.23 16.82   15.2   5.9 0.41 0.32 M2FS ca N D
AAT122794         Beasley2008     201.519470 -42.793086  3.34 20.30                        M2FS ca
H12_215           Harris2012      201.525480 -42.629742  9.12 18.58                        M2FS ca
H12_327           Harris2012      201.526176 -42.719741  4.94 20.27                        M2FS ca
H21-251200        This Work       201.527528 -42.869796 12.86 19.74   42.6   6.0 0.00 0.34 M2FS ca N New
GC_cand_26        This Work       201.529580 -42.652576  6.04 20.31                        M2FS ca
H21-251644        This Work       201.531996 -42.880424 20.63 19.74  -37.8   6.4 0.88 0.33 M2FS ca N New
GC_cand_24        This Work       201.532449 -43.033752 19.85 19.70  -18.1   6.1 0.97 0.33 M2FS ca N New
H21-252147        This Work       201.537507 -42.527812 15.96 19.96   -1.6   6.0 0.97 0.32 M2FS ca N New
GC_cand_19        This Work       201.540110 -42.874367 10.88 20.97                        M2FS ca
KV19-311          Voggel2020      201.543341 -42.521167 25.75 17.05  -50.4   6.0 0.20 0.32 M2FS ca N C
GC_cand_20        This Work       201.545560 -42.878286  9.37 20.05                        M2FS ca
H21-253874        This Work       201.555566 -42.869355 14.69 20.82  -48.1   6.0 0.40 0.36 M2FS ca N New
GC_cand_32        This Work       201.556733 -42.476640  9.26 20.23  -24.8   5.9 2.00 0.32 M2FS ca N New
H12_301           Harris2012      201.557280 -42.658710  5.15 19.92                        M2FS ca
GC_cand_27        This Work       201.560110 -42.826036  5.76 20.69                        M2FS ca
HHH86-26          Hesser1986      201.563543 -42.808168 19.80 18.25  366.2   5.9 0.10 0.32 M2FS ca Y RV
KV19-320          Voggel2020      201.580773 -42.625020 20.38 16.60    7.4   5.9 0.43 0.32 M2FS ca N D
GC_cand_25        This Work       201.584800 -42.963931  8.93 20.04                        M2FS ca
R118              Rejkuba2001     201.591612 -42.907344  6.85 19.84                        M2FS ca
H21-257979        This Work       201.592922 -42.966858  9.42 20.20                        M2FS ca
C51               Harris2004      201.600676 -42.783526  6.86 18.50  377.6   6.2 0.07 0.32 M2FS ca Y RV
f1.GC-1           Harris2004_conf 201.609730 -42.815443  5.06 19.86                        M2FS ca
H12_98            Harris2012      201.621990 -42.690375 11.07 18.32  519.6   5.9 0.21 0.32 M2FS ca Y A
H12_300           Harris2012      201.626488 -42.675358  5.00 19.85                        M2FS ca
KV19-325          Voggel2020      201.626726 -42.869731  4.86 18.28                        M2FS ca
H12_229           Harris2012      201.644783 -42.677839  3.50 19.37                        M2FS ca
HGHH-27           Harris1992      201.658290 -42.763861  4.08 23.42                        M2FS ca
GC_cand_33        This Work       201.671910 -42.798656  6.31 20.38                        M2FS ca
HH-100            Harris2004      201.710155 -42.843434  5.27 19.94                        M2FS ca
GC_cand_29        This Work       201.712211 -42.493167 31.13 18.11   94.6   6.0 0.39 0.32 M2FS ca N New
H21-274800        This Work       201.743124 -42.412481  8.18 20.97   -3.2   6.2 0.89 0.33 M2FS ca N New
pff_gc-100        Peng2004        201.764180 -42.454757 25.09 18.44  516.6   6.0 0.26 0.32 M2FS ca Y RV
GC_cand_30        This Work       201.765180 -42.609855  9.66 20.09                        M2FS ca
GC_cand_28        This Work       201.780810 -42.462194 10.10 19.93                        M2FS ca
GC_cand_36        This Work       201.783980 -42.742342  9.96 19.18                        M2FS ca
H12_252           Harris2012      201.786313 -42.770891  8.93 19.55  665.5   6.3 0.96 0.33 M2FS ca Y New
H21-281846        This Work       201.804760 -42.548015 13.25 20.88                        M2FS ca
H12_194           Harris2012      201.824886 -42.494562 14.21 19.13  508.3   6.0 0.35 0.32 M2FS ca Y New
H21-284161        This Work       201.825763 -42.490269 33.38 18.68   69.8 157.9 0.03 0.32 M2FS ca N New
KV19-361          Voggel2020      201.871665 -42.796645 18.20 15.97    3.0   5.9 0.28 0.32 M2FS ca N C
KV19-367          Voggel2020      201.886625 -42.464203  7.97 18.13                        M2FS ca
H21-291979        This Work       201.897545 -42.590191 11.19 20.49    3.0   6.0 0.14 0.32 M2FS ca N New
H21-294165        This Work       201.916844 -42.665642 10.21 20.21                        M2FS ca
GC_cand_35        This Work       201.923990 -42.763798  5.62 20.93                        M2FS ca
H12_259           Harris2012      201.926042 -42.546890  9.47 19.60                        M2FS ca
GC_cand_34        This Work       201.951410 -42.532064  1.54 19.91                        M2FS ca
H21-301067        This Work       201.980690 -42.662425  6.29 20.95                        M2FS ca
H21-301709        This Work       201.986469 -42.636172  6.66 20.05   -1.3   6.1 0.43 0.34 M2FS ca N New
KV19-386          Voggel2020      202.039586 -42.667068 15.17 17.87                        M2FS ca
GC_cand_58        This Work       200.705866 -43.101057 14.14 18.12  -67.5   5.9 0.08 0.32 M2FS mg N New
GC_cand_59        This Work       200.752432 -43.112764  3.19 18.03                        M2FS mg
GC_cand_57        This Work       200.771436 -42.891460  1.68 18.03                        M2FS mg
GC_cand_56        This Work       200.772643 -42.836061 22.04 17.51  -26.4   5.9 0.07 0.32 M2FS mg N New
GC_cand_98        This Work       200.780177 -42.725442 16.06 17.50  -11.9   5.9 0.10 0.32 M2FS mg N New
GC_cand_97        This Work       200.792280 -42.467880  7.44 17.75    5.3   6.0 0.32 0.33 M2FS mg N New
GC_cand_99        This Work       200.793307 -42.710812 16.95 17.32  -17.1   5.9 0.23 0.32 M2FS mg N New
GC_cand_103       This Work       200.826807 -42.720283 23.66 17.36    6.2   5.9 0.05 0.32 M2FS mg N New
GC_cand_104       This Work       200.827638 -42.603832 26.15 17.21  -24.0   5.9 0.75 0.32 M2FS mg N New
GC_cand_96        This Work       200.833672 -42.470965  1.33 17.21                        M2FS mg
GC_cand_102       This Work       200.838575 -42.504426 22.64 17.38  -19.2   5.9 0.06 0.32 M2FS mg N New
GC_cand_108       This Work       200.855482 -42.625245 25.66 17.33  -43.3   5.9 0.01 0.32 M2FS mg N New
T17-0962          Taylor2017      200.867583 -42.795075       16.76                        M2FS mg
GC_cand_109       This Work       200.884594 -42.606130 27.94 17.31  -37.4   5.9 0.00 0.32 M2FS mg N New
GC_cand_61        This Work       200.887129 -42.948218 15.89 17.89  -28.1   5.9 0.04 0.32 M2FS mg N New
HH-32             Harris2004      200.909655 -42.773054 15.85 18.30  -16.4   5.9 0.68 0.32 M2FS mg N RV
GC_cand_101       This Work       200.926014 -42.441631 23.23 17.47    6.7   5.9 0.24 0.32 M2FS mg N New
HGHH-40           Harris1992      200.926391 -43.160493 11.08 18.88  371.8   5.9 1.46 0.32 M2FS mg Y RV
VHH81-01          Berg1981        200.934030 -43.186620 16.77 17.42  640.0   5.9 0.82 0.33 M2FS mg Y Sigma
GC_cand_66        This Work       201.001818 -43.039715 27.59 17.88   -2.7   5.9 0.04 0.32 M2FS mg N New
GC_cand_67        This Work       201.009884 -43.038126 12.54 18.57  -34.3   5.9 1.01 0.32 M2FS mg N New
GC_cand_114       This Work       201.017203 -42.476733 21.41 18.39  -11.7   5.9 0.67 0.32 M2FS mg N New
GC_cand_100       This Work       201.017322 -42.425581 22.95 17.45   65.8   5.9 1.25 0.32 M2FS mg N New
GC_cand_115       This Work       201.029323 -42.478151 22.18 17.77   -6.6   5.9 0.06 0.32 M2FS mg N New
GC_cand_106       This Work       201.034219 -42.375900 21.56 17.44  -25.1   5.9 0.66 0.32 M2FS mg N New
GC_cand_107       This Work       201.054692 -42.454430 25.20 17.54  -13.6   5.9 0.16 0.32 M2FS mg N New
GC_cand_105       This Work       201.061614 -42.457369 28.80 17.63  -14.4   5.9 0.06 0.32 M2FS mg N New
GC_cand_60        This Work       201.066234 -42.978155 12.01 17.97                        M2FS mg
GC_cand_68        This Work       201.085209 -43.028346 11.81 17.67  -20.7   5.9 0.33 0.32 M2FS mg N New
GC_cand_64        This Work       201.093532 -42.937789  6.77 18.58  -10.9   5.9 0.52 0.32 M2FS mg N New
H12_67            Harris2012      201.100143 -43.386317  9.85 17.68  -36.2   5.9 0.20 0.32 M2FS mg N New
GC_cand_65        This Work       201.106850 -42.987902 47.22 16.15  -21.9   5.9 0.59 0.32 M2FS mg N C
GC_cand_113       This Work       201.121446 -42.424813 21.84 17.74   -2.4   5.9 0.00 0.32 M2FS mg N New
GC_cand_112       This Work       201.130572 -42.397736 23.89 17.52   -4.1   5.9 0.40 0.32 M2FS mg N New
H12_54            Harris2012      201.132246 -43.385425 20.40 17.62   17.3   5.9 0.00 0.32 M2FS mg N New
GC_cand_62        This Work       201.137483 -42.891258  6.30 18.14  -43.7   5.9 0.02 0.32 M2FS mg N New
H12_38            Harris2012      201.145898 -43.419643 17.62 17.16 -102.6   5.9 0.47 0.32 M2FS mg N New
GC_cand_63        This Work       201.148937 -42.944297 21.12 17.99  -43.7   5.9 0.32 0.32 M2FS mg N New
H12_34            Harris2012      201.151485 -43.394451 22.04 17.21   68.6   5.9 0.22 0.32 M2FS mg N New
HGHH-41           Harris1992      201.162357 -43.335133 12.23 18.64  360.0   5.9 0.40 0.32 M2FS mg Y Sigma
H12_64            Harris2012      201.162932 -43.412671 18.80 17.67    9.2   5.9 0.29 0.32 M2FS mg N New
HHH86-29          Hesser1986      201.168230 -43.301482 12.58 18.06  729.2   5.9 0.30 0.32 M2FS mg Y Sigma
H12_50            Harris2012      201.168389 -43.405788 24.03 17.58    4.2   5.9 0.14 0.32 M2FS mg N New
HGHH-11           Harris1992      201.227938 -43.022712  5.74 17.88                        M2FS mg
VHH81-03          Berg1981        201.242499 -42.936124 15.00 17.65  558.4   5.9 0.29 0.32 M2FS mg Y Sigma
GC_cand_110       This Work       201.246411 -42.431244 19.09 17.55   50.8   5.9 0.69 0.32 M2FS mg N New
HGHH-12           Harris1992      201.273697 -43.175240  8.24 17.96  441.4   5.9 0.38 0.32 M2FS mg Y Sigma
T17-1412          Taylor2017      201.281782 -43.020912 15.82 17.82  670.2   5.9 0.39 0.32 M2FS mg Y Sigma
GC_cand_111       This Work       201.295914 -42.467668 22.76 17.56    6.4   5.9 0.26 0.32 M2FS mg N New
GC_cand_51        This Work       201.326213 -43.418236 18.40 18.26  -55.5   5.9 0.25 0.32 M2FS mg N New
H12_37            Harris2012      201.334010 -43.207306 24.70 17.21   37.8   5.9 0.30 0.32 M2FS mg N New
HGHH-44           Harris1992      201.382221 -43.322982 12.29 18.68  508.3   5.9 1.11 0.32 M2FS mg Y Sigma
GC_cand_52        This Work       201.397008 -43.401533 14.10 17.89   89.1   5.9 1.22 0.32 M2FS mg N New
H12_95            Harris2012      201.500890 -43.475899 16.70 18.17  902.3   5.9 1.35 0.32 M2FS mg Y A
HGHH-25           Harris1992      201.511787 -42.949167  2.15 18.55                        M2FS mg
HGHH-07           Harris1992      201.522474 -42.942327  7.85 17.09  602.7   6.1 0.91 0.34 M2FS mg Y New
HHH86-36          Hesser1986      201.532145 -42.866721  3.99 18.42  694.4   6.3 1.26 0.36 M2FS mg Y Sigma
HHH86-37          Hesser1986      201.544021 -42.895178  0.78 18.56                        M2FS mg
T17-1974          Taylor2017      201.566079 -42.916914  9.17 18.07   86.1   6.2 1.08 0.33 M2FS mg N Sigma
GC_cand_54        This Work       201.584728 -43.261976 12.72 18.35   22.9   5.9 0.03 0.32 M2FS mg N New
HHH86-38          Hesser1986      201.599020 -42.900292 10.41 18.53  405.1   5.9 0.69 0.32 M2FS mg Y Sigma
GC_cand_53        This Work       201.609501 -43.229469 14.49 18.42   91.3   5.9 0.29 0.32 M2FS mg N New
GC_cand_85        This Work       201.613929 -42.851094 13.84 18.15   34.9   5.9 0.20 0.32 M2FS mg N New
GC_cand_55        This Work       201.627922 -43.467694 18.70 17.79   38.9   5.9 1.09 0.32 M2FS mg N New
GC_cand_84        This Work       201.645428 -42.845629 11.03 18.26   12.6   5.9 0.25 0.32 M2FS mg N New
T17-2078          Taylor2017      201.674724 -43.129189  7.96 17.55  228.1   5.9 0.81 0.33 M2FS mg N RV
GC_cand_82        This Work       201.697685 -42.902040 20.99 17.85  158.5   5.9 1.30 0.32 M2FS mg N New
H12_42            Harris2012      201.713064 -43.391586 24.00 17.35   55.5   5.9 0.15 0.32 M2FS mg N New
GC_cand_83        This Work       201.747338 -42.846370 15.72 18.05   -8.1   5.9 0.02 0.32 M2FS mg N New
H12_39            Harris2012      201.810932 -43.278301 30.31 17.28                        M2FS mg
H12_80            Harris2012      201.829811 -43.283793 25.22 18.01    7.2   5.9 0.11 0.32 M2FS mg N New
GC_cand_87        This Work       201.851621 -42.999337 22.54 17.82   -0.2   5.9 0.33 0.32 M2FS mg N New
GC_cand_86        This Work       201.897707 -43.087222 11.06 18.27  -29.5   5.9 0.56 0.32 M2FS mg N New
GC_cand_88        This Work       201.901736 -43.083001  8.52 18.61   36.0   5.9 1.08 0.32 M2FS mg N New
GC_cand_70        This Work       201.916629 -43.212664 18.88 18.25    4.0   5.9 0.11 0.32 M2FS mg N New
GC_cand_69        This Work       201.921895 -43.254038 14.36 18.40  -12.4   5.9 0.08 0.32 M2FS mg N New
GC_cand_89        This Work       201.946089 -43.067028 18.23 17.99  -46.9   5.9 0.07 0.32 M2FS mg N New
H12_82            Harris2012      201.993013 -43.443015 22.66 17.24                        M2FS mg
GC_cand_71        This Work       202.001586 -43.322300 21.94 18.08  -15.9   5.9 0.15 0.32 M2FS mg N New
GC_cand_92        This Work       202.014541 -42.847463 17.55 18.02   10.8   5.9 0.02 0.32 M2FS mg N New
GC_cand_90        This Work       202.046173 -42.885030 12.55 17.81   52.7   5.9 0.27 0.32 M2FS mg N New
GC_cand_93        This Work       202.049456 -43.003961 13.84 18.06  -34.9   5.9 0.08 0.32 M2FS mg N New
GC_cand_95        This Work       202.070384 -43.001883 16.16 18.09  -25.8   5.9 0.08 0.32 M2FS mg N New
GC_cand_94        This Work       202.070749 -43.022249 16.58 17.85   25.9   5.9 0.32 0.32 M2FS mg N New
GC_cand_91        This Work       202.073686 -42.989262 11.84 18.12  105.3   5.9 0.25 0.32 M2FS mg N New
GC_cand_75        This Work       202.083470 -43.327759 19.77 18.37  -38.1   5.9 0.14 0.32 M2FS mg N New
GC_cand_74        This Work       202.084923 -43.263532 14.23 18.83  -20.5   5.9 0.69 0.32 M2FS mg N New
GC_cand_73        This Work       202.086062 -43.247189 20.71 18.13   31.3   5.9 0.22 0.32 M2FS mg N New
GC_cand_72        This Work       202.108435 -43.134846 27.46 17.14   -4.6   5.9 0.36 0.32 M2FS mg N New
H12_141           Harris2012      202.112521 -43.267474 16.53 18.50  427.1   5.9 0.91 0.32 M2FS mg Y New
GC_cand_76        This Work       202.113796 -43.583358  8.47 17.64   51.3   5.9 0.43 0.32 M2FS mg N New
GC_cand_77        This Work       202.125409 -43.300774 24.76 18.10  -55.5   5.9 0.15 0.32 M2FS mg N New
